AS16-M-0174|106:29:34|76.2|-1|CSM|Vertical||Rev 17|Ptolemaeus|Mapping|3400|
AS16-M-0175||76.2||CSM|Vertical||Rev 17|Dark|Mapping|3400|
AS16-M-0176||76.2||CSM|Vertical||Rev 17|Dark|Mapping|3400|
AS16-M-0177||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0178||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0179||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0180||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0181||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0182||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0183||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0184||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0185||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0186||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0187||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0188||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0189||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0190||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0191||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0192||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0193||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0194||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0195||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0196||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0197||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0198||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0199||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0200||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0201||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0202||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0203||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0204||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0205||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0206||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0207||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0208||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0209||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0210||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0211||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0212||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0213||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0214||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0215||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0216||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0217||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0218||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0219||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0220||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0221||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0222||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0223||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0224||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0225||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0226||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0227||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0228||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0229||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0230||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0231||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0232||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0233||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0234||76.2||CSM|Vertical|||Dark|Mapping|3400|
AS16-M-0235||76.2||CSM|Vertical|||Dark|Mapping|3400|
