skip (GET)|LPI filename|ALSJ filename|media.apolloinrealtime.org filename|Description|Source
123:07:44|AS16-109-17764|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:08:34|AS16-109-17765|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:09:15|AS16-109-17766|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:09:56|AS16-109-17767|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:11:02|AS16-109-17768|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:18:40|AS16-109-17769|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:18:50|AS16-109-17770|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:19:14|AS16-109-17771|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:20:04|AS16-109-17772|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:20:22|AS16-109-17773|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:21:33|AS16-109-17774|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:26:10|AS16-109-17775|||EVA-1, station 1, pan|NASA
123:26:16|AS16-109-17776|||EVA-1, station 1, pan|NASA
123:26:22|AS16-109-17777|||EVA-1, station 1, pan|NASA
123:26:27|AS16-109-17778|||EVA-1, station 1, pan|NASA
123:26:33|AS16-109-17779|||EVA-1, station 1, pan|NASA
123:26:39|AS16-109-17780|||EVA-1, station 1, pan|NASA
123:26:45|AS16-109-17781|||EVA-1, station 1, pan|NASA
123:26:50|AS16-109-17782|||EVA-1, station 1, pan|NASA
123:26:56|AS16-109-17783|||EVA-1, station 1, pan|NASA
123:27:02|AS16-109-17784|||EVA-1, station 1, pan|NASA
123:27:08|AS16-109-17785|||EVA-1, station 1, pan|NASA
123:27:14|AS16-109-17786|||EVA-1, station 1, pan|NASA
123:27:19|AS16-109-17787|||EVA-1, station 1, pan|NASA
123:27:24|AS16-109-17788|||EVA-1, station 1, pan|NASA
123:27:30|AS16-109-17789|||EVA-1, station 1, pan|NASA
123:27:36|AS16-109-17790|||EVA-1, station 1, pan|NASA
123:27:43|AS16-109-17791|||EVA-1, station 1, pan|NASA
123:27:50|AS16-109-17792|||EVA-1, station 1, pan|NASA
123:27:56|AS16-109-17793|||EVA-1, station 1, pan|NASA
123:30:12|AS16-109-17794|||EVA-1, station 1, samples 372 rake, 354 soil|NASA
123:30:38|AS16-109-17795|||EVA-1, station 1, samples 372 rake, 354 soil|NASA
123:37:44|AS16-109-17796|||EVA-1, station 1, samples 371 rock, 363 soil|NASA
123:39:20|AS16-109-17797|||EVA-1, station 1, samples 371 rock, 363 soil|NASA
123:41:08|AS16-109-17798|||EVA-1, station 1, samples 364 rock, 356 soil|NASA
123:45:45|AS16-109-17799|||EVA-1, station 1, samples 362 rock, 002, rock, 369 soil|NASA
123:46:17|AS16-109-17800|||EVA-1, station 1, samples 362 rock, 002, rock, 369 soil|NASA
123:52:54|AS16-109-17801|||EVA-1, station 1, samples 352 soil, 357 soil|NASA
128:58:10|AS16-109-17802|||EVA-1, station 1, samples 353 rock, 368 soil|NASA
128:58:17|AS16-109-17803|||EVA-1, station 1, samples 353 rock, 368 soil|NASA
128:58:55|AS16-109-17804|||EVA-1, station 1, samples 353 rock, 368 soil|NASA
124:01:42|AS16-109-17805|||EVA-1, station 1, samples 353 rock, 368 soil|NASA
124:02:46|AS16-109-17806|||EVA-1, station 1, lineations closeup|NASA
124:02:52|AS16-109-17807|||EVA-1, station 1, lineations closeup|NASA
124:04:23|AS16-109-17808|||EVA-1, station 1|NASA
124:04:26|AS16-109-17809|||EVA-1, station 1|NASA
124:04:35|AS16-109-17810|||EVA-1, station 1|NASA
124:22:35|AS16-109-17811|||EVA-1, station 2, pan|NASA
124:22:38|AS16-109-17812|||EVA-1, station 2, pan|NASA
124:22:42|AS16-109-17813|||EVA-1, station 2, pan|NASA
124:22:47|AS16-109-17814|||EVA-1, station 2, pan|NASA
124:22:53|AS16-109-17815|||EVA-1, station 2, pan|NASA
124:22:58|AS16-109-17816|||EVA-1, station 2, pan|NASA
124:23:05|AS16-109-17817|||EVA-1, station 2, pan|NASA
124:23:10|AS16-109-17818|||EVA-1, station 2, pan|NASA
124:23:14|AS16-109-17819|||EVA-1, station 2, pan|NASA
124:23:20|AS16-109-17820|||EVA-1, station 2, pan|NASA
124:23:24|AS16-109-17821|||EVA-1, station 2, pan|NASA
124:23:28|AS16-109-17822|||EVA-1, station 2, pan|NASA
124:23:31|AS16-109-17823|||EVA-1, station 2, pan|NASA
124:23:35|AS16-109-17824|||EVA-1, station 2, pan|NASA
124:23:39|AS16-109-17825|||EVA-1, station 2, pan|NASA
124:23:42|AS16-109-17826|||EVA-1, station 2, pan|NASA
124:23:46|AS16-109-17827|||EVA-1, station 2, pan|NASA
124:32:45|AS16-109-17828|||EVA-1, station 2, pan of Buster crater|NASA
124:32:48|AS16-109-17829|||EVA-1, station 2, pan of Buster crater|NASA
124:32:53|AS16-109-17830|||EVA-1, station 2, pan of Buster crater|NASA
124:32:56|AS16-109-17831|||EVA-1, station 2, pan of Buster crater|NASA
124:32:59|AS16-109-17832|||EVA-1, station 2, pan of Buster crater|NASA
124:33:02|AS16-109-17833|||EVA-1, station 2, pan of Buster crater|NASA
124:33:06|AS16-109-17834|||EVA-1, station 2, pan of Buster crater|NASA
124:33:10|AS16-109-17835|||EVA-1, station 2, pan of Buster crater|NASA
124:33:13|AS16-109-17836|||EVA-1, station 2, pan of Buster crater|NASA
124:33:34|AS16-109-17837|||EVA-1, station 2, samples 005 rock, 006 soil|NASA
124:33:41|AS16-109-17838|||EVA-1, station 2, samples 005 rock, 006 soil|NASA
124:34:57|AS16-109-17839|||EVA-1, station 2, samples 005 rock, 006 soil|NASA
124:35:44|AS16-109-17840|||EVA-1, station 2, samples 005 rock, 006 soil|NASA
124:35:47|AS16-109-17841|||EVA-1, station 2, samples 005 rock, 006 soil|NASA
124:37:03|AS16-109-17842|||EVA-1, station 2, samples 005 rock, 006 soil|NASA
124:37:33|AS16-109-17843|||EVA-1, station 2, sample 007 rock|NASA
124:37:38|AS16-109-17844|||EVA-1, station 2, sample 007 rock|NASA
124:39:11|AS16-109-17845|||EVA-1, station 2, sample 009 rock|NASA
124:39:14|AS16-109-17846|||EVA-1, station 2, sample 009 rock|NASA
124:43:33|AS16-109-17847|||EVA-1, station 2, samples 010 rock, 011 soil|NASA
124:43:37|AS16-109-17848|||EVA-1, station 2, samples 010 rock, 011 soil|NASA
124:48:16|AS16-109-17849|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:48:22|AS16-109-17850|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:48:33|AS16-109-17851|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:48:59|AS16-109-17852|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:49:12|AS16-109-17853|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:49:39|AS16-109-17854|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:49:51|AS16-109-17855|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:50:14|AS16-109-17856|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:50:34|AS16-109-17857|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:51:00|AS16-109-17858|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:51:25|AS16-109-17859|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:51:45|AS16-109-17860|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:52:07|AS16-109-17861|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
124:52:20|AS16-109-17862|||EVA-1, LRV traverse, station 2 to Grand Prix|NASA
125:11:09|AS16-109-17863|||EVA-1, LM, solar wind composition experiment|NASA
125:11:13|AS16-109-17864|||EVA-1, LM, solar wind composition experiment|NASA
122:39:20|AS16-114-18383|||EVA-1 ALSEP, sample 351 rock|NASA
122:39:25|AS16-114-18384|||EVA-1 ALSEP, sample 351 rock|NASA
122:45:35|AS16-114-18385|||EVA-1 ALSEP, samples 355 soil & 373 rock|NASA
122:45:40|AS16-114-18386|||EVA-1 ALSEP, samples 355 soil & 373 rock|NASA
122:45:59|AS16-114-18387|||EVA-1 ALSEP, samples 355 soil & 373 rock|NASA
122:46:06|AS16-114-18388|||EVA-1 ALSEP, samples 355 soil & 373 rock|NASA
123:30:28|AS16-114-18389|||EVA-1 , station 1, sample 372 rake|NASA
123:30:32|AS16-114-18390|||EVA-1 , station 1, sample 372 rake|NASA
123:30:37|AS16-114-18391|||EVA-1 , station 1, sample 372 rake|NASA
123:32:25|AS16-114-18392|||EVA-1 , station 1, sample 372 rake|NASA
123:33:10|AS16-114-18393|||EVA-1 , station 1, sample 372 rake|NASA
123:33:36|AS16-114-18394|||EVA-1 , station 1, sample 372 rake|NASA
123:35:50|AS16-114-18395|||EVA-1, station1, sample 354 soil|NASA
123:36:55|AS16-114-18396|||EVA-1, station 1, samples 371 rock & 363 soil|NASA
123:37:05|AS16-114-18397|||EVA-1, station 1, samples 371 rock & 363 soil|NASA
123:40:34|AS16-114-18398|||EVA-1, station 1, samples 371 rock & 363 soil|NASA
