096:16:26|AS16-113-18284|||CSM viwed from LM, north of Buisson|NASA
096:16:40|AS16-118-18893|||Lunar Module In lunar orbit following undocking|NASA
096:16:50|AS16-118-18894|||Lunar Module In lunar orbit following undocking|NASA
098:11:45|AS16-113-18285|||Earthrise from LM, east of Saha|NASA
098:11:49|AS16-113-18286|||Earthrise from LM, east of Saha|NASA
098:11:54|AS16-113-18287|||Earthrise from LM, east of Saha|NASA
098:11:59|AS16-113-18288|||Earthrise from LM, east of Saha|NASA
098:12:04|AS16-113-18289|||Earthrise from LM, east of Saha|NASA
108:22:12|AS16-121-19353|||North west rim of Kant, D|NASA
108:22:15|AS16-121-19354|||North west rim of Kant, D|NASA
108:22:28|AS16-121-19355|||North west rim of Kant, D|NASA
108:22:31|AS16-121-19356|||North west rim of Kant, D|NASA
108:22:34|AS16-121-19357|||North of Descartes|NASA
108:22:45|AS16-121-19358|||North of Descartes|NASA
108:22:48|AS16-121-19359|||North of Descartes|NASA
108:23:02|AS16-121-19360|||North of Descartes|NASA
108:23:05|AS16-121-19361|||North rim of Dollond|NASA
108:23:08|AS16-121-19362|||North of Dollond|NASA
108:23:16|AS16-121-19363|||North of Dollond|NASA
108:23:19|AS16-121-19364|||East of Andel|NASA
108:23:23|AS16-121-19365|||East of Andel|NASA
108:23:35|AS16-121-19366|||Andel, E rim|NASA
108:23:37|AS16-121-19367|||Andel|NASA
108:23:40|AS16-121-19368|||Andel|NASA
108:23:44|AS16-121-19369|||Andel|NASA
108:23:58|AS16-121-19370|||West wall of Andel|NASA
108:24:17|AS16-121-19371|||West of Andel|NASA
108:24:36|AS16-124-19833|||Hipparchus|NASA
108:24:44|AS16-124-19834|||Hipparchus, J|NASA
108:24:48|AS16-124-19835|||East of Muller|NASA
108:24:51|AS16-124-19836|||East of Muller|NASA
108:25:00|AS16-124-19837|||Muller|NASA
108:25:07|AS16-124-19838|||North of Muller|NASA
119:34:35|AS16-113-18313|||LM pan|NASA
119:34:39|AS16-113-18314|||LM pan|NASA
119:34:43|AS16-113-18315|||LM pan|NASA
119:34:47|AS16-113-18316|||LM pan|NASA
119:34:50|AS16-113-18317|||LM pan|NASA
119:34:54|AS16-113-18318|||LM pan|NASA
119:34:58|AS16-113-18319|||LM pan|NASA
119:35:01|AS16-113-18320|||LM pan|NASA
119:35:05|AS16-113-18321|||LM pan|NASA
119:35:09|AS16-113-18322|||LM pan|NASA
119:35:13|AS16-113-18323|||LM pan|NASA
119:35:17|AS16-113-18324|||LM pan|NASA
